Outlet,Total_Events_Covered,Exclusive_Events,Exclusive_Rate_%,Shared_Events_Covered,Shared_Events_Missed,Major_Coverage_Share_%,Avg_Delay_Hours
hindustan_times,3018,2532,83.9,486,136,78.1,2.33
the_times_of_india,1520,1116,73.4,404,218,65.0,3.78
india_today,829,609,73.5,220,402,35.4,3.36
the_hindu,1716,1530,89.2,186,436,29.9,1.91
theprint,156,95,60.9,61,561,9.8,5.7
deccan_herald,103,72,69.9,31,591,5.0,5.46
indian_express,114,102,89.5,12,610,1.9,0.16
firstpost,25,16,64.0,9,613,1.4,0.47
news18,24,17,70.8,7,615,1.1,3.31
ndtv,17,11,64.7,6,616,1.0,4.71
the_new_indian_express,8,3,37.5,5,617,0.8,10.69
