event_id,event_title,event_date,article_count,unique_outlet_count,outlets_covering,representative_headline,event_summary,cluster_confidence,is_low_quality_event
EVT_01858,"Jan Suraaj Party (JSP) founder Prashant Kishor scripted a major political upset in Bihar by defeating the Bharatiya Janata Party candidate in the Bankipur Assembly byelection, a constituency represented for five consecutive terms by the BJP’s nationa...",2026-08-03,6,5,"['the_hindu', 'theprint', 'hindustan_times', 'deccan_herald', 'the_times_of_india']","Jan Suraaj Party (JSP) founder Prashant Kishor scripted a major political upset in Bihar by defeating the Bharatiya Janata Party candidate in the Bankipur Assembly byelection, a constituency represented for five consecutive terms by the BJP’s nationa...","‘No sadhu involved’: Yogi cites SIT report in Ram Temple donation theft case as Oppn demands debate in Parliament
Yogi's remarks came amid a political row over the alleged donation theft, which has triggered protests inside the Parliament.
Uttar Pradesh Chief Minister Yogi Adityanath on Tuesday said...",0.33,True
EVT_01904,"The Lok Sabha on Monday (August 3, 2026) passed a Bill to increase the sanctioned strength of judges in the Supreme Court without any discussion as persistent protests by Opposition members over the police action against protesting students at Jantar...",2026-08-03,4,4,"['the_hindu', 'india_today', 'the_times_of_india', 'hindustan_times']","The Lok Sabha on Monday (August 3, 2026) passed a Bill to increase the sanctioned strength of judges in the Supreme Court without any discussion as persistent protests by Opposition members over the police action against protesting students at Jantar...","Parliament Monsoon Session Live: Lok Sabha passes bill to raise Supreme Court strength to 38 judges
Parliament Monsoon Session: Lok Sabha passes bill to raise Supreme Court strength to 38 judges
In a bid to strengthen the judiciary's capacity and address the mounting pendency of cases, the Lok Sabha...",0.54,False
EVT_00067,"Priyanka Gandhi Takes 'Chanakya' Swipe At Amit Shah On Delimitation, Invoking Ancient Strategy To Critique Modern Maths",2026-04-16,4,4,"['hindustan_times', 'news18', 'indian_express', 'india_today']","Priyanka Gandhi Takes 'Chanakya' Swipe At Amit Shah On Delimitation, Invoking Ancient Strategy To Critique Modern Maths","‘Even Chanakya would be shocked’: Priyanka Gandhi's banter with Amit Shah in Lok Sabha
Breaking into a smile herself, Priyanka Gandhi said in Lok Sabha, “the home minister is laughing, their entire plan is ready"".
Congress leader and member of Parliament Priyanka Gandhi Vadra, in a light-hearted ban...",0.53,False
EVT_02010,"Instant messaging app WhatsApp on Monday (August 3, 2026) put multiple accounts, including those in India, ""under review"" for 24 hours and blocked all the app features, prompting several affected users to flag the issue through social media.",2026-08-03,4,4,"['hindustan_times', 'the_hindu', 'india_today', 'the_times_of_india']","Instant messaging app WhatsApp on Monday (August 3, 2026) put multiple accounts, including those in India, ""under review"" for 24 hours and blocked all the app features, prompting several affected users to flag the issue through social media.","WhatsApp puts multiple accounts in India under review, blocks app access for 24 hours
Affected users said they were unable to use the Meta-owned messaging app despite receiving no prior warning.
Multiple WhatsApp users, including several in India, reported on Monday evening that their accounts had b...",0.47,False
EVT_01124,"Ahead of the monsoon session of Parliament, Lok Sabha Speaker Om Birla has approved the merger of six Shiv Sena (Uddhav Balasaheb Thackeray or UBT) MPs into the Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. The Shiv Sena (UBT) wil...",2026-07-18,4,4,"['the_hindu', 'indian_express', 'hindustan_times', 'the_times_of_india']","Ahead of the monsoon session of Parliament, Lok Sabha Speaker Om Birla has approved the merger of six Shiv Sena (Uddhav Balasaheb Thackeray or UBT) MPs into the Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. The Shiv Sena (UBT) wil...","6 UBT MPs’ merger with Shinde Sena gets Lok Sabha Speaker’s approval
The circular showed Shiv Sena with 13 lawmakers and Sena (UBT) with three. The circular also added that 20 rebel TMC members will sit separately.
Lok Sabha Speaker Om Birla on Saturday approved the merger of six Shiv Sena (Uddhav B...",0.43,False
EVT_00073,"New Delhi: The proportion of Lok Sabha seats in southern states will increase from 23.76 per cent to 23.87 per cent after the increase in the size of Lok Sabha, Union Home Minister Amit Shah said Thursday, seeking to allay the apprehensions of southe...",2026-04-16,4,4,"['theprint', 'ndtv', 'the_new_indian_express', 'the_hindu']","New Delhi: The proportion of Lok Sabha seats in southern states will increase from 23.76 per cent to 23.87 per cent after the increase in the size of Lok Sabha, Union Home Minister Amit Shah said Thursday, seeking to allay the apprehensions of southe...","A charged political debate is underway on the first day of the special session of Parliament on Thursday after Union ministers Arjun Ram Meghwal and Amit Shah introduced three bills in the Lok Sabha to amend the women’s quota law and set up a delimitation commission, amid opposition protests calling...",0.42,False
EVT_00031,"NEW DELHI: The West Bengal illegal coal mining racket - origin of the ongoing ED probe against political consultancy firm I-PAC - was run by a syndicate led by Anup Majee, also known within the network as ""Lala"". At the heart of the investigation is ...",2026-04-14,4,4,"['india_today', 'indian_express', 'ndtv', 'the_times_of_india']","NEW DELHI: The West Bengal illegal coal mining racket - origin of the ongoing ED probe against political consultancy firm I-PAC - was run by a syndicate led by Anup Majee, also known within the network as ""Lala"". At the heart of the investigation is ...","After five years, Rahul gets set to begin Bengal campaign; Priyanka to follow suit
Rahul may walk a tightrope during his Bengal campaign, keeping his guns trained on BJP while refraining from mounting an all-out attack against the incumbent Mamata Banerjee-led TMC.
Leader of the Opposition (LoP) in ...",0.4,False
EVT_01734,"Counting of votes for the Bankipur Assembly bypoll in Bihar began at 8 a.m. in Patna on Monday (August 3, 2026), with all eyes on whether debutant Prashant Kishor of Jan Suraaj Party wrests the seat from the BJP.",2026-08-02,4,4,"['hindustan_times', 'the_times_of_india', 'india_today', 'the_hindu']","Counting of votes for the Bankipur Assembly bypoll in Bihar began at 8 a.m. in Patna on Monday (August 3, 2026), with all eyes on whether debutant Prashant Kishor of Jan Suraaj Party wrests the seat from the BJP.","Prashant Kishor rules out alliances after Bankipur win, says BJP voters backed him
Prashant Kishor won the Bankipur bypoll and ruled out joining any political alliance in Bihar. The result gives Jan Suraaj its first Assembly seat and sharpens pressure on the BJP-led government.
Jan Suraaj Party foun...",0.36,True
EVT_00628,"Educator and climate activist Sonam Wangchuk on Friday (July 20) asserted that he would “stay alive till July 20 at any cost”, even as his indefinite hunger strike entered its 20th day amid a warning from doctors that his prolonged fast has reached a...",2026-07-16,4,4,"['india_today', 'the_times_of_india', 'the_hindu', 'hindustan_times']","Educator and climate activist Sonam Wangchuk on Friday (July 20) asserted that he would “stay alive till July 20 at any cost”, even as his indefinite hunger strike entered its 20th day amid a warning from doctors that his prolonged fast has reached a...","I'm not in good shape: Sonam Wangchuk enters Day 19 of indefinite hunger strike
As per the latest health update shared by the doctor monitoring Sonam Wangchuk, the 59-year-old activist's weight has dropped to 56.65 kg, down 500 grams in the last 24 hours and over 9 kg since the start of his hunger s...",0.32,True
EVT_01517,"'On Aug 4, at 12 pm': Kejriwal plans march to PM's residence with '100 who don't fear jail' over E20 concerns",2026-08-01,3,3,"['hindustan_times', 'the_times_of_india', 'india_today']","'On Aug 4, at 12 pm': Kejriwal plans march to PM's residence with '100 who don't fear jail' over E20 concerns","'On Aug 4, at 12 pm': Kejriwal plans march to PM's residence with '100 who don't fear jail' over E20 concerns
The scheduled march marks the latest in a series of attacks by the AAP targeted towards the Centre's fuel-blending policy.
Former Delhi chief minister Arvind Kejriwal has announced a march t...",0.71,False
EVT_01877,Karnataka Cabinet Expansion Highlights | 19 ministers inducted into CM Shivakumar-led cabinet in Karnataka,2026-08-03,3,3,"['deccan_herald', 'hindustan_times', 'india_today']",Karnataka Cabinet Expansion Highlights | 19 ministers inducted into CM Shivakumar-led cabinet in Karnataka,"Karnataka rules out Cauvery bandh, DK Shivakumar says state will protect interests
After an all-party meeting, DK Shivakumar urged parties and Kannada groups not to call a bandh over the Cauvery dispute. He said Karnataka would protect its interests through legal channels while prioritising drinking...",0.69,False
EVT_00242,"NEW DELHI: India and Japan on Thursday condemned Pakistan-sponsored cross-border terrorism and called for immediate global action against all UN-listed terrorist entities and their proxies, specifically naming",2026-07-02,3,3,"['hindustan_times', 'firstpost', 'the_times_of_india']","NEW DELHI: India and Japan on Thursday condemned Pakistan-sponsored cross-border terrorism and called for immediate global action against all UN-listed terrorist entities and their proxies, specifically naming","Modi, Japan PM condemn Pakistan-backed terror, call for action against LeT, JeM
PM Modi and Japan's Takaichi condemned last year's Pahalgam terror attack and Red Fort blasts that jolted the country.
Prime Minister Narendra Modi and his Japanese counterpart Sanae Takaichi on Thursday condemned Pakist...",0.59,False
