clean_outlet,deccan_herald,firstpost,hindustan_times,india_today,indian_express,ndtv,news18,the_hindu,the_new_indian_express,the_times_of_india,theprint
deccan_herald,119,0,19,10,0,0,1,15,0,17,3
firstpost,0,25,6,3,0,0,0,0,0,4,0
hindustan_times,19,6,3578,178,6,1,5,137,0,354,28
india_today,10,3,178,941,3,3,2,57,0,111,17
indian_express,0,0,6,3,114,1,3,2,0,2,3
ndtv,0,0,1,3,1,17,0,2,1,2,1
news18,1,0,5,2,3,0,24,0,0,0,1
the_hindu,15,0,137,57,2,2,0,2069,3,101,28
the_new_indian_express,0,0,0,0,0,1,0,3,8,1,3
the_times_of_india,17,4,354,111,2,2,0,101,1,1816,36
theprint,3,0,28,17,3,1,1,28,3,36,174
